,Index,Strokes,Meanings,Readings,krad,Kanji,Grade,Kanji Classification,JLPT-test,Kanji Frequency with Proper Nouns,Kanji Frequency without Proper Nouns,Symmetry
呉,361,7,"[' go/soy beans soaked and mashed to a creamy paste (ingredient of tofu and soy milk),', ' Wu/region in China, south of the lower Yangtze Wu/Southern Wu/kingdom in China during the Five Dynasties and Ten Kingdoms era (902 CE-937 CE) Wu/Eastern Wu/Sun Wu/kingdom in China during the Three Kingdoms era (222 CE-280 CE) Wu/kingdom in China during the Spring and Autumn era (11th C-473 BCE)]']","['ご', 'ご']","['口', 'ハ']",['呉'],[7],['会意 Com. Ideographic'],[1],[5540],[671],['.']
告,362,7,[],[],"['ノ', '口', '土']",['告'],[4],['象形 Pictographic'],[3],[232580],[232497],['P']
呑,363,7,[],[],"['ノ', '口', '大']",,,,,,,
周,364,8,"[' Zhou dynasty (China, approx. 1046-256 BCE)/Chou dynasty perimeter counter for laps or circuits]']",['しゅう'],"['口', '土', '冂']",['周'],[4],['会意 Com. Ideographic'],[2],[74380],[67477],['R']
味,365,8,"[' flavor/flavour/taste charm/appeal/uniqueness/attractiveness experience/taste (e.g. of victory) smart/clever/witty/strange,', ' (sense of) taste counter for food, drink, medicine, etc.]']","['あじ', 'み']","['｜', '口', '二', 'ハ', '木', '亠']",['味'],[3],['形声 Phonetic'],[4],[112407],[109252],['P']
呵,366,8,[' scolding]'],"['しかり', 'り']","['口', '亅']",,,,,,,
呻,367,8,[],[],"['｜', '口', '田']",,,,,,,
呼,368,8,[],[],"['ノ', '口', '并', '亅']",['呼'],[6],['形声 Phonetic'],[3],[79473],[79054],['S']
命,369,8,"[' life/life force lifetime/lifespan most important thing/foundation/core paired tattoos of the ""life"" kanji on the upper arms of a man and woman (indicating unwavering love) fate/destiny/karma,', ' order/command/decree life destiny/fate,', ' Lord/Highness you,', ' the spoken words of the emperor or a noble]']","['いのち', 'めい', 'みこと', 'みこと']","['口', '𠆢', '卩', '一']",['命'],[3],['会意 Com. Ideographic'],[3],[118516],[106488],['P']
咀,370,8,[],[],"['一', '口', '目']",,,,,,,
咆,371,8,[],[],"['口', '勹', '已']",,,,,,,
和,372,8,"[' calm (at sea)/lull,', ' sum harmony/peace Japan/Japanese-style,', ' soft/fragile/weak/poorly built/insubstantial,', ' tranquil/calm/quiet/peaceful]']","['なぎ', 'わ', 'やわ', 'のど']","['禾', '口']",['和'],[3],['会意 Com. Ideographic'],[3],[259765],[111315],['R']
咎,373,8,[' error/mistake/fault sin/wrongdoing/offense]'],['とが'],"['口', '人', '夂']",,,,,,,
咤,374,9,[],[],"['ノ', '乙', '口', '宀']",,,,,,,
咨,375,9,[],[],"['欠', '口', '冫']",,,,,,,
咫,376,9,[' distance between outstretched thumb and middle finger (approx. 18 cm)]'],['あた'],"['口', 'ハ', '尸']",,,,,,,
咬,377,9,[],[],"['口', '父', '亠']",,,,,,,
咳,378,9,[' cough/coughing/tussis]'],['せき'],"['口', '人', '亠']",,,,,,,
咽,379,9,[' throat singing voice]'],['のど'],"['口', '大', '囗']",['咽'],[7],['形声 Phonetic'],[0],[462],[462],['.']
哀,380,9,[' pity/sorrow/grief/misery]'],['あい'],"['衣', '口', '亠']",['哀'],[7],['会意 Com. Ideographic'],[1],[4792],[4651],['R']
品,381,9,"[' article/item/thing/goods/stock quality flirtatiousness/coquetry,', ' court rank level/grade chapter/section/volume,', ' elegance/grace/refinement/class/dignity article/item counter for items (of food, etc.)/counter for dishes or courses (at a restaurant)]']","['しな', 'ほん', 'ひん']","['口', '品']",['品'],[3],['会意 Com. Ideographic'],[4],[221436],[211039],['P']
哉,382,9,[' how!/what!/alas!]'],['かな'],"['口', '土', '戈']",,,,,,,
員,383,10,[' member]'],['いん'],"['貝', '目', 'ハ', '口']",['員'],[3],['象形 Pictographic'],[4],[545063],[544702],['P']
哭,384,10,[],[],"['犬', '口']",,,,,,,
哮,385,10,[],[],"['口', '子', '⺹']",,,,,,,
哲,386,10,[' sage/wise man/philosopher/disciple sagacity/wisdom/intelligence]'],['てつ'],"['斤', '口', '扌']",['哲'],[7],['形声 Phonetic'],[1],[27950],[5107],['S']
哺,387,10,"["" holding food in one's mouth/food held in one's mouth]""]",['ほ'],"['口', '十', '用', '丶']",['哺'],[7],['形声 Phonetic'],[0],[315],[315],['.']
唆,388,10,[],[],"['口', '儿', '厶', '夂']",['唆'],[7],['形声 Phonetic'],[1],[9869],[9869],['.']
唇,389,10,[' lips]'],['くちびる'],"['衣', '口', '辰', '厂']",['唇'],[7],['形声 Phonetic'],[1],[1330],[1330],['.']
唐,390,10,"["" Tang dynasty (China, 618-907)/T'ang dynasty China/foreign country,"", ' China Chinese,', ' China (sometimes also used in ref. to Korea or other foreign countries)]']","['とう', 'もろこし', 'から']","['｜', 'ヨ', '一', '口', '广']",['唐'],[7],['会意 Com. Ideographic'],[0],[6605],[4829],['R']
唖,391,10,[' muteness/speech impairment mute/deaf-mute]'],['おし'],"['｜', '一', '口']",,,,,,,
唯,392,11,[' ordinary/common/usual free of charge unaffected/as is/safe only/merely/just/simply but/however/nevertheless]'],['ただ'],"['口', '隹']",['唯'],[7],['会意 Com. Ideographic'],[1],[11191],[10373],['R']
